"mouse","lesion","DAPI_count","total_host_count","B220_count","CD4_count","CD8_count","area","nonrep_tb","rep_tb","total_tb","B220_percent","CD4_percent","CD8_percent","Other_percent","B220_prop","CD4_prop","CD8_prop","DAPI_prop","DAPI_count_500","total_host_count_500","B220_count_500","CD4_count_500","CD8_count_500","RS_index","log_rep_tb","log_nonrep_tb","log_total_tb","log_RS_index","log_RS_prop","RS_prop","Vaccination","Timepoint"
"SAL19","L04",104,383,154,90,57,17363.1093,44,0,44,40.2088772845953,23.4986945169713,14.8825065274151,27.154046997389,0.402088772845953,0.234986945169713,0.148825065274151,0.27154046997389,0.208,0.766,0.308,0.18,0.114,0,0,3.80666248977032,3.80666248977032,0,0,0,"SAL","D114"
"SAL19","L05",1445,1611,47,52,69,109802.645,103,7,110,2.91744258224705,3.22780881440099,4.28305400372439,89.6958410924891,0.0291744258224705,0.0322780881440099,0.042830540037244,0.896958410924891,2.89,3.222,0.094,0.104,0.138,4.6404271603599,2.07944154167984,4.64439089914137,4.70953020131233,13.0888049616124,0.441539060753956,0.0636363636363636,"SAL","D114"
"SAL19","L06",1601,2489,431,273,219,170937.3054,348,45,393,17.3161912414624,10.9682603455203,8.79871434310968,64.3230212936922,0.173161912414624,0.109682603455203,0.0879871434310968,0.643230212936923,3.202,4.978,0.862,0.546,0.438,20.4174228675136,3.8286413964891,5.85507192220243,5.97635090929793,15.7008675392599,0.640631959969509,0.114503816793893,"SAL","D114"
"SAL19","L07",3035,4557,1086,209,276,280138.9261,471,58,529,23.8314680710994,4.58635066929998,6.05661619486504,66.6008338819399,0.238314680710994,0.0458635066929998,0.0605661619486504,0.666008338819399,6.07,9.114,2.172,0.418,0.552,14.2949858527069,4.07753744390572,6.15697898558556,6.27287700654617,9.11628786181844,0.650026684669656,0.109640831758034,"SAL","D114"
"SAL21","L01",7406,10188,892,979,926,630883.0508,2561,159,2720,8.75539850804869,9.60934432665881,9.0891244601492,72.6933647428347,0.0875539850804869,0.0960934432665881,0.0908912446014919,0.726933647428347,14.812,20.376,1.784,1.958,1.852,16.5755334272491,5.07517381523383,7.84854348245668,7.90875473878325,5.01973768946402,0.641715918986083,0.0584558823529412,"SAL","D114"
"SAL21","L02",1749,2447,134,321,252,171039.975,437,32,469,5.47609317531671,13.1181038005721,10.2983244789538,71.4752758479771,0.0547609317531671,0.131181038005721,0.102983244789538,0.714752758479771,3.498,4.894,0.268,0.642,0.504,14.0348383440611,3.49650756146648,6.08221891037645,6.1527326947041,14.4546141401015,0.568285302638949,0.0682302771855011,"SAL","D114"
"SAL21","L03",2206,2592,131,125,131,149185.8388,130,10,140,5.05401234567901,4.82253086419753,5.05401234567901,85.108024691358,0.0505401234567901,0.0482253086419753,0.0505401234567901,0.85108024691358,4.412,5.184,0.262,0.25,0.262,4.15479582146249,2.39789527279837,4.87519732320115,4.94875989037817,9.39073096501624,0.484544679053954,0.0714285714285714,"SAL","D114"
"SAL21","L04",2407,3394,149,262,583,188109.8228,795,53,848,4.39010017678256,7.71950500883913,17.1773718326458,70.9192692987625,0.0439010017678256,0.0771950500883913,0.171773718326458,0.709192692987625,4.814,6.788,0.298,0.524,1.166,16.6568454134748,3.98898404656427,6.67959918584438,6.74405918631135,11.8664668778908,0.591481174225288,0.0625,"SAL","D114"
"SAL21","L05",1449,1964,96,234,185,111387.9617,301,19,320,4.88798370672098,11.9144602851324,9.41955193482688,73.7780040733198,0.0488798370672098,0.119144602851324,0.0941955193482688,0.737780040733198,2.898,3.928,0.192,0.468,0.37,10.2847940672977,2.99573227355399,5.71042701737487,5.77144112313002,15.416195137324,0.519061393790901,0.059375,"SAL","D114"
"SAL21","L06",1693,2425,109,351,276,170466.9265,368,35,403,4.49484536082474,14.4742268041237,11.3814432989691,69.8144329896907,0.0449484536082474,0.144742268041237,0.113814432989691,0.698144329896907,3.386,4.85,0.218,0.702,0.552,15.8056925145675,3.58351893845611,5.91079664404053,6.00141487796115,15.003949494668,0.597112349558731,0.086848635235732,"SAL","D114"
"SAL21","L07",584,815,133,67,34,54824.41312,47,2,49,16.319018404908,8.22085889570552,4.17177914110429,71.6564417177914,0.16319018404908,0.0822085889570552,0.0417177914110429,0.716564417177914,1.168,1.63,0.266,0.134,0.068,2.55841273985119,1.09861228866811,3.87120101090789,3.91202300542815,13.6220516109797,0.280829710649381,0.0408163265306122,"SAL","D114"
"SAL21","L08",4363,5741,291,648,441,318108.533,741,64,805,5.06880334436509,11.287232189514,7.68158857341927,75.997213029089,0.0506880334436509,0.11287232189514,0.0768158857341927,0.75997213029089,8.726,11.482,0.582,1.296,0.882,12.1107237967495,4.17438726989564,6.60934924316738,6.69208374250663,7.36220415762771,0.623779891363411,0.0795031055900621,"SAL","D114"
"SAL21","L09",621,750,24,72,34,41944.14931,6,2,8,3.2,9.6,4.53333333333333,82.8,0.032,0.096,0.0453333333333333,0.828,1.242,1.5,0.048,0.144,0.068,3.55555555555556,1.09861228866811,1.94591014905531,2.19722457733622,16.5399752076394,0.5,0.25,"SAL","D114"
"SAL21","L10",1438,1820,62,220,103,115380.9767,59,8,67,3.40659340659341,12.0879120879121,5.65934065934066,79.010989010989,0.0340659340659341,0.120879120879121,0.0565934065934066,0.79010989010989,2.876,3.64,0.124,0.44,0.206,4.99161855094058,2.19722457733622,4.0943445622221,4.21950770517611,12.44172094477,0.520730078212884,0.119402985074627,"SAL","D114"
"SAL21","L11",1961,2249,67,145,76,125769.1461,26,0,26,2.97910182303246,6.44730991551801,3.37927967985771,87.1943085815918,0.0297910182303246,0.0644730991551801,0.0337927967985771,0.871943085815918,3.922,4.498,0.134,0.29,0.152,0,0,3.29583686600433,3.29583686600433,0,0,0,"SAL","D114"
"SAL23","L01",2704,3294,144,261,187,244280.2335,90,4,94,4.37158469945355,7.92349726775956,5.67698846387371,82.0886460230723,0.0437158469945355,0.0792349726775956,0.0567698846387371,0.820886460230723,5.408,6.588,0.288,0.522,0.374,1.26829926465628,1.6094379124341,4.51085950651685,4.55387689160054,4.93256273490756,0.353421480366026,0.0425531914893617,"SAL","D114"
"SAL23","L02",2700,3395,93,338,265,230527.0703,237,28,265,2.73932253313697,9.95581737849779,7.80559646539028,79.5287187039764,0.0273932253313697,0.0995581737849779,0.0780559646539028,0.795287187039764,5.4,6.79,0.186,0.676,0.53,9.22180173126278,3.36729582998647,5.47227067367148,5.5834963087817,10.1199917069884,0.603080156906418,0.105660377358491,"SAL","D114"
"SAL23","L03",9614,14787,4006,638,581,794111.9088,1453,281,1734,27.0913640359775,4.3146006627443,3.92912693582201,65.0165686075607,0.270913640359775,0.043146006627443,0.0392912693582201,0.650165686075607,19.228,29.574,8.012,1.276,1.162,22.6782597816733,5.64190707093811,7.28207365809346,7.45876269238096,3.90802720235102,0.756413269013272,0.162053056516724,"SAL","D114"
"SAL23","L04",1280,1467,23,107,62,98630.96994,50,7,57,1.56782549420586,7.29379686434901,4.22631220177232,87.252897068848,0.0156782549420586,0.0729379686434901,0.0422631220177232,0.87252897068848,2.56,2.934,0.046,0.214,0.124,5.43967280163599,2.07944154167984,3.93182563272433,4.06044301054642,14.6384728544691,0.51212183899116,0.12280701754386,"SAL","D114"
"SAL23","L05",1303,1488,38,76,79,116530.4054,72,4,76,2.55376344086022,5.10752688172043,5.30913978494624,87.5672043010753,0.0255376344086022,0.0510752688172043,0.0530913978494624,0.875672043010753,2.606,2.976,0.076,0.152,0.158,2.83751493428913,1.6094379124341,4.29045944114839,4.34380542185368,10.9505985635165,0.370513353184979,0.0526315789473684,"SAL","D114"
"SAL23","L06",1297,1881,277,184,129,99770.40352,38,0,38,14.7262094630516,9.78203083466241,6.85805422647528,68.9526847421584,0.147262094630516,0.0978203083466241,0.0685805422647528,0.689526847421584,2.594,3.762,0.554,0.368,0.258,0,0,3.66356164612965,3.66356164612965,0,0,0,"SAL","D114"
